Term 1,Term 2,wup,sp,lch
love,sex,0.9230769230769231,1.0,0.9933507113510024
tiger,cat,0.9655172413793104,1.0,0.9933507113510024
tiger,tiger,1.0,1.0,0.9933507113510024
book,paper,0.875,1.0,0.9933507113510024
computer,keyboard,0.8235294117647058,0.925,0.697513638868093
computer,internet,0.631578947368421,0.825,0.46935114594543464
plane,car,0.7272727272727273,1.0,0.9933507113510024
train,car,0.7368421052631579,1.0,0.9933507113510024
telephone,communication,0.16666666666666666,1.0,0.9933507113510024
television,radio,0.9090909090909091,1.0,0.9933507113510024
media,radio,0.8235294117647058,1.0,0.9933507113510024
drug,abuse,0.18181818181818182,1.0,0.9933507113510024
bread,butter,0.75,1.0,0.9933507113510024
cucumber,potato,0.8235294117647058,0.925,0.697513638868093
doctor,nurse,0.8235294117647058,1.0,0.9933507113510024
professor,doctor,0.6666666666666666,1.0,0.9933507113510024
student,professor,0.5333333333333333,0.825,0.46935114594543464
smart,student,0.13333333333333333,1.0,0.9933507113510024
smart,stupid,0.13333333333333333,1.0,0.9933507113510024
company,stock,0.6153846153846154,1.0,0.9933507113510024
stock,market,0.5555555555555556,1.0,0.9933507113510024
stock,phone,0.7,1.0,0.9933507113510024
stock,CD,0.7368421052631579,1.0,0.9933507113510024
stock,jaguar,0.8148148148148148,1.0,0.9933507113510024
stock,egg,0.625,1.0,0.9933507113510024
fertility,egg,0.15384615384615385,1.0,0.9933507113510024
stock,live,0.2857142857142857,1.0,0.9933507113510024
stock,life,0.6153846153846154,1.0,0.9933507113510024
book,library,0.8,1.0,0.9933507113510024
bank,money,0.5714285714285714,1.0,0.9933507113510024
wood,forest,1.0,1.0,0.9933507113510024
money,cash,0.875,1.0,0.9933507113510024
professor,cucumber,0.5,0.7,0.3242088163902064
king,cabbage,0.5714285714285714,1.0,0.9933507113510024
king,queen,1.0,1.0,0.9933507113510024
king,rook,0.9090909090909091,1.0,0.9933507113510024
bishop,rabbi,0.75,0.9,0.6200458888731156
Jerusalem,Israel,0.7,0.85,0.5108612276291497
Jerusalem,Palestinian,0.2727272727272727,1.0,0.9933507113510024
holy,sex,0.3076923076923077,1.0,0.9933507113510024
fuck,sex,0.8571428571428571,1.0,0.9933507113510024
Maradona,football,0.0,0.0,0.0
football,soccer,0.9523809523809523,0.975,0.9933507113510024
football,basketball,0.9,0.95,0.806698300112059
football,tennis,0.7619047619047619,0.875,0.55995723371683
tennis,racket,0.6,1.0,0.9933507113510024
Arafat,peace,0.14285714285714285,0.7,0.3242088163902064
Arafat,terror,0.6153846153846154,0.875,0.55995723371683
Arafat,Jackson,0.8,0.925,0.697513638868093
law,lawyer,0.16666666666666666,0.75,0.3733048224778867
movie,star,0.5333333333333333,1.0,0.9933507113510024
movie,popcorn,0.36363636363636365,0.675,0.30265471531561156
movie,critic,0.4444444444444444,0.75,0.3733048224778867
movie,theater,0.625,0.85,0.5108612276291497
physics,proton,0.2222222222222222,0.65,0.2826987347064913
physics,chemistry,0.9,0.95,0.806698300112059
space,chemistry,0.4444444444444444,1.0,0.9933507113510024
alcohol,chemistry,0.6666666666666666,0.9,0.6200458888731156
vodka,gin,0.8888888888888888,1.0,0.9933507113510024
vodka,brandy,0.8888888888888888,0.95,0.806698300112059
drink,car,0.2857142857142857,1.0,0.9933507113510024
drink,ear,0.46153846153846156,1.0,0.9933507113510024
drink,mouth,0.5,1.0,0.9933507113510024
drink,eat,0.5,1.0,0.9933507113510024
baby,mother,0.75,1.0,0.9933507113510024
drink,mother,0.6153846153846154,1.0,0.9933507113510024
car,automobile,1.0,1.0,0.9933507113510024
gem,jewel,1.0,1.0,0.9933507113510024
journey,voyage,0.9523809523809523,1.0,0.9933507113510024
boy,lad,0.9230769230769231,0.975,0.9933507113510024
coast,shore,0.9090909090909091,1.0,0.9933507113510024
asylum,madhouse,0.9523809523809523,0.975,0.9933507113510024
magician,wizard,1.0,1.0,0.9933507113510024
midday,noon,1.0,1.0,0.9933507113510024
furnace,stove,0.5263157894736842,1.0,0.9933507113510024
food,fruit,0.4,1.0,0.9933507113510024
bird,cock,0.9523809523809523,1.0,0.9933507113510024
bird,crane,0.8695652173913043,1.0,0.9933507113510024
tool,implement,0.9333333333333333,1.0,0.9933507113510024
brother,monk,0.9333333333333333,0.975,0.9933507113510024
crane,implement,0.75,1.0,0.9933507113510024
lad,brother,0.6666666666666666,0.9,0.6200458888731156
journey,car,0.10526315789473684,1.0,0.9933507113510024
monk,oracle,0.5333333333333333,0.825,0.46935114594543464
cemetery,woodland,0.42857142857142855,0.8,0.43339347763417224
food,rooster,0.21052631578947367,0.625,0.2641201612339208
coast,hill,0.6666666666666666,1.0,0.9933507113510024
forest,graveyard,0.42857142857142855,1.0,0.9933507113510024
shore,woodland,0.6,1.0,0.9933507113510024
monk,slave,0.6666666666666666,1.0,0.9933507113510024
coast,forest,0.5454545454545454,1.0,0.9933507113510024
lad,wizard,0.6666666666666666,1.0,0.9933507113510024
chord,smile,0.375,1.0,0.9933507113510024
