sentence,word,semcor,nltk_lesk,simplified_lesk
The Fulton_County_Grand_Jury said Friday an investigation of Atlanta 's recent primary_election produced `` no evidence '' that any irregularities took_place .,Friday,Synset('friday.n.01'),Synset('friday.n.01'),Synset('friday.n.01')
"The jury further said in term end presentments that the City_Executive_Committee , which had over-all charge of the election , `` deserves the praise and thanks of the City_of_Atlanta '' for the manner in which the election was conducted .",election,Synset('election.n.01'),Synset('election.n.01'),Synset('election.n.04')
The September October term jury had been charged by Fulton Superior_Court_Judge_Durwood_Pye to investigate reports of possible `` irregularities '' in the hard-fought primary which was won by Mayor-nominate_Ivan_Allen_Jr. .,irregularities,Synset('constipation.n.01'),Synset('irregularity.n.02'),Synset('constipation.n.01')
"`` Only a relative handful of such reports was received '' , the jury said , `` considering the widespread interest in the election , the number of voters and the size of_this city '' .",election,Synset('election.n.01'),Synset('election.n.01'),Synset('election.n.03')
The jury said it did find that many_of Georgia 's registration and election laws `` are outmoded or inadequate and often ambiguous '' .,Georgia,Synset('georgia.n.03'),Synset('georgia.n.03'),Synset('georgia.n.03')
It recommended that Fulton legislators act `` to have these laws studied and revised to the end of modernizing and improving them '' .,end,Synset('end.n.02'),Synset('goal.n.01'),Synset('end.v.02')
"The grand_jury commented on a number of other topics , among them the Atlanta and Fulton_County purchasing_departments which it said `` are well operated and follow generally accepted practices which inure to the best interest of both governments '' .",grand_jury,Synset('grand_jury.n.01'),Synset('grand_jury.n.01'),Synset('grand_jury.n.01')
"However , the jury said it believes `` these two offices should be combined to achieve greater efficiency and reduce the cost of administration '' .",offices,Synset('office.n.01'),Synset('position.n.06'),Synset('office.n.06')
"The City_Purchasing_Department , the jury said , `` is lacking in experienced clerical personnel as a result of city personnel policies '' .",result,Synset('resultant_role.n.01'),Synset('solution.n.02'),Synset('result.v.03')
It urged that the city `` take steps to remedy '' this problem .,steps,Synset('footstep.n.03'),Synset('tone.n.09'),Synset('step.v.06')
Implementation of Georgia 's automobile title law was also recommended by the outgoing jury .,jury,Synset('jury.n.02'),Synset('jury.n.02'),Synset('jury.n.02')
It urged that the next Legislature `` provide enabling funds and re-set the effective date so_that an orderly implementation of the law may be effected '' .,funds,Synset('investment_company.n.01'),Synset('store.n.02'),Synset('fund.v.06')
The grand_jury took_a_swipe_at the State_Welfare_Department 's handling of federal funds granted for child_welfare_services in foster_homes .,funds,Synset('investment_company.n.01'),Synset('store.n.02'),Synset('fund.v.06')
"`` This is one of the major items in the Fulton_County general assistance program '' , the jury said , but the State_Welfare_Department `` has seen_fit to distribute these funds through the welfare departments of all the counties in the state with the exception of Fulton_County , which receives none of_this money .",funds,Synset('investment_company.n.01'),Synset('store.n.02'),Synset('fund.v.06')
The jurors said they realize `` a proportionate distribution of these funds might disable this program in our less populous counties '' .,jurors,Synset('juror.n.01'),Synset('juror.n.01'),Synset('juror.n.01')
"Nevertheless , `` we feel that in_the_future Fulton_County should receive some portion of these available funds '' , the jurors said .",funds,Synset('investment_company.n.01'),Synset('store.n.02'),Synset('funds.n.01')
`` Failure to do this will continue to place a disproportionate burden '' on Fulton taxpayers .,taxpayers,Synset('taxpayer.n.01'),Synset('taxpayer.n.01'),Synset('taxpayer.n.01')
"The jury also commented on the Fulton ordinary 's court which has been under_fire for its practices in the appointment of appraisers , guardians and administrators and the awarding of fees and compensation .",jury,Synset('jury.n.02'),Synset('jury.n.02'),Synset('jury.n.02')
"The jury said it found the court `` has incorporated into its operating_procedures the recommendations '' of two previous grand_juries , the Atlanta_Bar_Association and an interim citizens_committee .",operating_procedures,Synset('operating_procedure.n.01'),Synset('operating_procedure.n.01'),Synset('operating_procedure.n.01')
"`` These actions should serve to protect in_fact and in_effect the court 's wards from undue costs and its appointed and elected servants from unmeritorious criticisms '' , the jury said .",criticisms,Synset('criticism.n.03'),Synset('criticism.n.03'),Synset('criticism.n.03')
"Regarding Atlanta 's new million dollar airport , the jury recommended `` that when the new management takes_charge Jan. 1 the airport be operated in a manner that will eliminate political influences '' .",Jan.,Synset('january.n.01'),,
"The jury did not elaborate , but it added that `` there should be periodic surveillance of the pricing practices of the concessionaires for the purpose of keeping the prices reasonable '' .",purpose,Synset('determination.n.02'),Synset('purpose.v.02'),Synset('purpose.v.02')
"On other matters , the jury recommended that :",matters,Synset('matter.n.06'),Synset('matter.n.04'),Synset('matter.n.01')
"Four additional deputies be employed at the Fulton_County_Jail and `` a doctor , medical_intern or extern be employed for night and weekend duty at the jail '' .",doctor,Synset('doctor.n.04'),Synset('repair.v.01'),Synset('repair.v.01')
Fulton legislators `` work with city officials to pass enabling_legislation that will permit the establishment of a fair and equitable '' pension plan for city employes .,pension,Synset('pension.n.01'),Synset('pension.v.01'),Synset('pension.v.01')
"The jury praised the administration and operation of the Atlanta Police_Department , the Fulton_Tax_Commissioner_'s_Office , the Bellwood and Alpharetta prison_farms , Grady_Hospital and the Fulton_Health_Department .",administration,Synset('administration.n.06'),Synset('presidency.n.01'),Synset('administration.n.02')
"Mayor_William_B._Hartsfield filed suit for divorce from his wife , Pearl_Williams_Hartsfield , in Fulton_Superior_Court Friday .",wife,Synset('wife.n.01'),Synset('wife.n.01'),Synset('wife.n.01')
His petition charged mental cruelty .,cruelty,Synset('cruelty.n.03'),Synset('cruelty.n.01'),Synset('cruelty.n.03')
"The couple was married Aug. 2 , 1913 .",Aug.,Synset('august.n.01'),,
"They have a son , William_Berry_Jr. , and a daughter , Mrs._J._M._Cheshire of Griffin .",daughter,Synset('daughter.n.01'),Synset('daughter.n.01'),Synset('daughter.n.01')
Attorneys for the mayor said that an amicable property_settlement has been agreed_upon .,mayor,Synset('mayor.n.01'),Synset('mayor.n.01'),Synset('mayor.n.01')
The petition listed the mayor 's occupation as `` attorney '' and his age as 71 .,petition,Synset('prayer.n.02'),Synset('request.n.01'),Synset('request.n.01')
"It listed his wife 's age as 74 and place_of_birth as Opelika_,_Ala. .",wife,Synset('wife.n.01'),Synset('wife.n.01'),Synset('wife.n.01')
The petition said that the couple has not lived together as man_and_wife for more than a year .,man_and_wife,Synset('marriage.n.02'),Synset('marriage.n.02'),Synset('marriage.n.02')
The Hartsfield home is at 637 E._Pelham_Rd._NE .,home,Synset('home.n.09'),Synset('home_plate.n.01'),Synset('home.r.03')
Henry_L._Bowden was listed on the petition as the mayor 's attorney .,mayor,Synset('mayor.n.01'),Synset('mayor.n.01'),Synset('mayor.n.01')
"Hartsfield has been mayor of Atlanta , with exception of one brief interlude , since 1937 .",exception,Synset('exception.n.03'),Synset('exception.n.02'),Synset('exception.n.03')
His political career goes_back to his election to city_council in 1923 .,career,Synset('career.n.02'),Synset('career.v.01'),Synset('career.v.01')
The mayor 's present term_of_office expires Jan. 1 .,mayor,Synset('mayor.n.01'),Synset('mayor.n.01'),Synset('mayor.n.01')
"He will be succeeded by Ivan_Allen_Jr. , who became a candidate in the Sept. 13 primary after Mayor_Hartsfield announced that he would not run for reelection .",Sept.,Synset('family.n.04'),,
"Georgia Republicans are getting strong encouragement to enter a candidate in the 1962 governor_'s_race , a top official said Wednesday .",Wednesday,Synset('wednesday.n.01'),Synset('wednesday.n.01'),Synset('wednesday.n.01')
"Robert_Snodgrass , state GOP chairman , said a meeting held Tuesday night in Blue_Ridge brought enthusiastic responses from the audience .",Tuesday,Synset('tuesday.n.01'),Synset('tuesday.n.01'),Synset('tuesday.n.01')
State_Party_Chairman_James_W._Dorsey added that enthusiasm was picking_up for a state rally to be held Sept. 8 in Savannah at which newly elected Texas Sen._John_Tower will be the featured speaker .,Savannah,Synset('savanna.n.01'),Synset('savannah.n.02'),Synset('savannah.n.02')
"In the Blue_Ridge meeting , the audience was warned that entering a candidate for governor would force it to take petitions out into voting_precincts to obtain the signatures of registered voters .",voting_precincts,Synset('voting_precinct.n.01'),Synset('voting_precinct.n.01'),Synset('voting_precinct.n.01')
"Despite the warning , there was a unanimous vote to enter a candidate , according_to Republicans who attended .",vote,Synset('vote.n.05'),Synset('vote.v.03'),Synset('vote.v.01')
"When the crowd was asked whether it wanted to wait one more term to make the race , it voted no - and there were no dissents .",crowd,Synset('crowd.n.02'),Synset('push.v.06'),Synset('herd.v.01')
"The largest hurdle the Republicans would have to face is a state law which says that before making a first race , one of two alternative courses must be taken :",race,Synset('race.n.01'),Synset('subspecies.n.01'),Synset('race.v.04')
"Five per_cent of the voters in each county must sign petitions requesting that the Republicans be allowed to place names of candidates on the general_election ballot , or The Republicans must hold a primary under the county unit system - a system which the party opposes in its platform .",voters,Synset('voter.n.01'),Synset('voter.n.01'),Synset('voter.n.01')
"Sam_Caldwell , State_Highway_Department public_relations director , resigned Tuesday to work for Lt._Gov._Garland_Byrd 's campaign .",public_relations,Synset('public_relations.n.01'),Synset('public_relations.n.01'),Synset('public_relations.n.01')
Caldwell 's resignation had been expected for some time .,time,Synset('prison_term.n.01'),Synset('time.v.05'),Synset('time.v.05')
"He will be succeeded by Rob_Ledford of Gainesville , who has been an assistant more than three years .",years,Synset('year.n.01'),Synset('year.n.03'),Synset('year.n.03')
"When the gubernatorial campaign starts , Caldwell is expected to become a campaign coordinator for Byrd .",campaign,Synset('campaign.n.04'),Synset('political_campaign.n.01'),Synset('campaign.v.03')
